Tab 1:
|      |   No | Division       | Sub-Division          | Country        | Legal Entity                       | KRIs                                      |     Q3 2024 KRI |     Q2 2024 KRI |      Variance | Sample Selected   |
|  111 |  112 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | Total Transactions                        |          371346 |          372583 |  -0.00333113  |                   |
|  112 |  113 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | Value of transactions                     |      9410189081 |      9552887329 |  -0.0151642   |                   |
|  113 |  114 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | HR Clients                                |              53 |              54 |  -0.0188679   |                   |
|  114 |  115 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | MR Clients                                |             262 |             264 |  -0.00763359  |                   |
|  115 |  116 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | LR Clients                                |               0 |               0 |   0           |                   |
|  116 |  117 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  117 |  118 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  118 |  119 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | New Products                              |               0 |               0 |   0           |                   |
|  119 |  120 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | Total clients                             |             212 |               0 |   1           |                   |
|  120 |  121 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | Business Income                           |        16050085 |        14751411 |   0.0809138   |                   |
|  121 |  122 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | Total Transactions                        |          285720 |          220016 |   0.229959    |                   |
|  122 |  123 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | Value of transactions                     |       717306566 |       738360942 |  -0.029352    |                   |
|  123 |  124 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | HR Clients                                |              32 |               0 |   1           |                   |
|  124 |  125 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | MR Clients                                |             143 |               0 |   1           |                   |
|  125 |  126 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | LR Clients                                |               0 |               0 |   0           |                   |
|  126 |  127 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  127 |  128 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  128 |  129 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | New Products                              |               0 |               0 |   0           |                   |
|  129 |  130 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | Wires - volume                            |             274 |            1610 |  -4.87591     | 1                 |
|  130 |  131 | Corporate Bank | Marine Finance        | Brazil         | Willett Bank Brazil                | Wires - value                             |        38336030 |       135300732 |  -2.52934     | 1                 |
|  131 |  132 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | Total clients                             |              12 |              17 |  -0.416667    |                   |
|  132 |  133 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | Business Income                           |        11078631 |         8604462 |   0.223328    |                   |
|  133 |  134 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | Total Transactions                        |             503 |             473 |   0.0596421   |                   |
|  134 |  135 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | Value of transactions                     |      6727994911 |      6612134575 |   0.0172206   |                   |
|  135 |  136 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | HR Clients                                |               2 |               4 |  -1           |                   |
|  136 |  137 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | MR Clients                                |               2 |               5 |  -1.5         | 1                 |
|  137 |  138 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | LR Clients                                |               0 |               1 |   0           |                   |
|  138 |  139 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | Terrorist Financing breaches              |               0 |               1 |   0           |                   |
|  139 |  140 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  140 |  141 | Corporate Bank | Fund Services         | Brazil         | Willett Bank Brazil                | New Products                              |               0 |               0 |   0           |                   |
|  141 |  142 | Markets        | Trading               | Brazil         | Willett Bank Brazil                | Business Income                           |          265707 |          237089 |   0.107705    |                   |
|  142 |  143 | Markets        | Trading               | Brazil         | Willett Bank Brazil                | New Products                              |               0 |               0 |   0           |                   |
|  143 |  144 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | Total clients                             |               1 |               0 |   1           |                   |
|  144 |  145 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | Business Income                           |       280084822 |       200595381 |   0.283805    |                   |
|  145 |  146 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | Total Transactions                        |         4221412 |         4254313 |  -0.00779384  |                   |
|  146 |  147 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | Value of transactions                     |    455761167792 |    469845796163 |  -0.0309035   |                   |
|  147 |  148 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | HR Clients                                |               0 |               0 |   0           |                   |
|  148 |  149 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | MR Clients                                |               0 |               0 |   0           |                   |
|  149 |  150 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | LR Clients                                |               0 |               0 |   0           |                   |
|  150 |  151 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  151 |  152 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  152 |  153 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | Clients with HR products                  |               0 |               0 |   0           |                   |
|  153 |  154 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | New Products                              |               0 |               0 |   0           |                   |
|  154 |  155 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | Wires - volume                            |           65982 |           68044 |  -0.0312509   |                   |
|  155 |  156 | Markets        | Sales                 | Cayman Islands | Willett Bank Cayman                | Wires - value                             |       119108941 |       151544347 |  -0.272317    |                   |
|  156 |  157 | Markets        | Trading               | Cayman Islands | Willett Bank Cayman                | Total clients                             |              15 |              11 |   0.266667    |                   |
|  157 |  158 | Markets        | Trading               | Cayman Islands | Willett Bank Cayman                | Business Income                           |         7592725 |         7643212 |  -0.00664939  |                   |
|  158 |  159 | Markets        | Trading               | Cayman Islands | Willett Bank Cayman                | HR Clients                                |               1 |               1 |   0           |                   |
|  159 |  160 | Markets        | Trading               | Cayman Islands | Willett Bank Cayman                | MR Clients                                |               2 |               1 |   0.5         |                   |
|  160 |  161 | Markets        | Trading               | Cayman Islands | Willett Bank Cayman                | LR Clients                                |               0 |               0 |   0           |                   |
|  161 |  162 | Markets        | Trading               | Cayman Islands | Willett Bank Cayman                | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  162 |  163 | Markets        | Trading               | Cayman Islands | Willett Bank Cayman                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  163 |  164 | Markets        | Trading               | Cayman Islands | Willett Bank Cayman                | New Products                              |               0 |               0 |   0           |                   |
|  164 |  165 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | Total clients                             |            2064 |            2250 |  -0.0901163   |                   |
|  165 |  166 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | Business Income                           |        57946499 |        53730738 |   0.0727526   |                   |
|  166 |  167 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | Total Transactions                        |         4402006 |         4374236 |   0.00630849  |                   |
|  167 |  168 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | Value of transactions                     |    366547377562 |    362886478937 |   0.00998752  |                   |
|  168 |  169 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | HR Clients                                |             150 |             142 |   0.0533333   |                   |
|  169 |  170 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | MR Clients                                |            1489 |            1619 |  -0.0873069   |                   |
|  170 |  171 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | LR Clients                                |               1 |               4 |  -3           | 1                 |
|  171 |  172 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | Terrorist Financing breaches              |               0 |               1 |   0           |                   |
|  172 |  173 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | Proliferation Financing breaches          |               1 |               2 |  -1           |                   |
|  173 |  174 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | New Products                              |               0 |               0 |   0           |                   |
|  174 |  175 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | Wires - volume                            |            8739 |            8292 |   0.05115     |                   |
|  175 |  176 | Corporate Bank | Corporate Loans       | China          | Willett Bank China                 | Wires - value                             |       585896595 |       537287639 |   0.0829651   |                   |
|  176 |  177 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | Total clients                             |            2012 |              14 |   0.993042    |                   |
|  177 |  178 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | Business Income                           |        29870697 |        28180447 |   0.0565856   |                   |
|  178 |  179 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | Total Transactions                        |          106567 |          109119 |  -0.0239474   |                   |
|  179 |  180 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | Value of transactions                     |     13481537879 |     14014724229 |  -0.0395494   |                   |
|  180 |  181 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | HR Clients                                |             141 |              14 |   0.900709    |                   |
|  181 |  182 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | MR Clients                                |            1437 |               0 |   1           |                   |
|  182 |  183 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | LR Clients                                |               1 |               0 |   1           |                   |
|  183 |  184 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  184 |  185 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | Proliferation Financing breaches          |               1 |               0 |   1           |                   |
|  185 |  186 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | New Products                              |               0 |               0 |   0           |                   |
|  186 |  187 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | Wires - volume                            |           10286 |            9620 |   0.0647482   |                   |
|  187 |  188 | Corporate Bank | Marine Finance        | China          | Willett Bank China                 | Wires - value                             |      4280574591 |      3999805043 |   0.0655916   |                   |
|  188 |  189 | Corporate Bank | Syndicated Lending    | China          | Willett Bank China                 | Total clients                             |              29 |              33 |  -0.137931    |                   |
|  189 |  190 | Corporate Bank | Syndicated Lending    | China          | Willett Bank China                 | Business Income                           |          292002 |          245769 |   0.158331    |                   |
|  190 |  191 | Corporate Bank | Syndicated Lending    | China          | Willett Bank China                 | HR Clients                                |               2 |               3 |  -0.5         |                   |
|  191 |  192 | Corporate Bank | Syndicated Lending    | China          | Willett Bank China                 | MR Clients                                |              11 |              14 |  -0.272727    |                   |
|  192 |  193 | Corporate Bank | Syndicated Lending    | China          | Willett Bank China                 | LR Clients                                |               0 |               4 |   0           |                   |
|  193 |  194 | Corporate Bank | Syndicated Lending    | China          | Willett Bank China                 | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  194 |  195 | Corporate Bank | Syndicated Lending    | China          | Willett Bank China                 | Proliferation Financing breaches          |               0 |               4 |   0           |                   |
|  195 |  196 | Corporate Bank | Syndicated Lending    | China          | Willett Bank China                 | New Products                              |               0 |               0 |   0           |                   |
|  196 |  197 | Corporate Bank | Fund Services         | China          | Willett Bank China                 | Total clients                             |              48 |              46 |   0.0416667   |                   |
