actual,predictions,similarity
"|   Variance |
|-----------:|
|         38 |
|         24 |
|         64 |
|         -4 |
|         11 |","To calculate the quarter-on-quarter variance, we need to subtract the value of the previous quarter from the current quarter and then divide by the value of the previous quarter.

Let's do this calculation for each row:

1. For Q2 (current) - Q1 (previous): (2415 - 0) / 0 = 2415 (since there is no prior quarter)
2. For Q3 (current) - Q2 (previous): (1746 - 2415) / 2415 = -669/2415 ≈ -0.2765
3. For Q4 (current) - Q3 (previous): (2228 - 1746) / 1746 = 482/1746 ≈ 0.2765

Rounded integers:
- 2415
- -1
- 0",0.4079344868659973
"|   Variance |
|-----------:|
|         32 |
|        -11 |
|         43 |
|        -10 |
|          0 |","569
126
8
-4
2",0.17005807161331177
"|   Variance |
|-----------:|
|        -24 |
|         10 |
|          8 |
|          7 |
|        -11 |","17  
-3  
2428  
-6  
1",0.21638992428779602
"|   Variance |
|-----------:|
|         27 |
|          0 |
|          1 |
|         13 |
|         -4 |","10
-30
11
11
7",0.2862854301929474
"|   Variance |
|-----------:|
|         15 |
|          6 |
|        -27 |
|        350 |
|         22 |","- 6
- -132
- 348
- 14
- 670",0.24826182425022125
"|   Variance |
|-----------:|
|         13 |
|         -8 |
|        -19 |
|         20 |
|          0 |","102  
180  
118  
6468  
10",0.0501999631524086
"|   Variance |
|-----------:|
|         -5 |
|        -19 |
|         24 |
|         17 |
|        150 |","- 4%
- 15%
- 10%
- 10%
- -6%",0.400163471698761
"|   Variance |
|-----------:|
|        -13 |
|         14 |
|         10 |
|         41 |
|        -16 |","- 4360 - 5021 = -661 (rounded: -661)
- 4940 - 4319 = 621 (rounded: 621)
- 86 - 78 = 8 (rounded: 8)
- 55 - 39 = 16 (rounded: 16)
- 2573 - 3061 = -488 (rounded: -488)",0.3281456530094147
"|   Variance |
|-----------:|
|         -3 |
|         27 |
|        -16 |
|         23 |
|        533 |","- 23
- -742
- 3756
- 49
- 16",0.3904406726360321
"|   Variance |
|-----------:|
|          6 |
|         23 |
|        100 |
|        -27 |
|         17 |","1090  
454  
11  
2  
-5",0.23229572176933289
"|   Variance |
|-----------:|
|          0 |
|        -13 |
|       -100 |
|         43 |
|         19 |","-5
1029
-7
-11
59",0.1516686975955963
"|   Variance |
|-----------:|
|         15 |
|          3 |
|          0 |
|         -5 |
|          6 |","15
2
0
-2
13",0.3445688486099243
"|   Variance |
|-----------:|
|        -10 |
|         16 |
|          1 |
|         -8 |
|        -42 |",20 | -72 | -1 | 933 | 757 | 629 |,0.4778423607349396
"|   Variance |
|-----------:|
|         24 |
|        -11 |
|         -7 |
|        -27 |
|         14 |","21
55
3692
3933
1",0.15574026107788086
"|   Variance |
|-----------:|
|         32 |
|          0 |
|        -17 |
|         15 |
|          3 |","0  
16  
-1259  
8  
1225",0.2523471713066101
"|   Variance |
|-----------:|
|        -11 |
|        -50 |
|        -15 |
|          9 |
|        150 |",264 | 2 | 58 | -54 | 791,0.3278518319129944
"|   Variance |
|-----------:|
|        -24 |
|         31 |
|         11 |
|         15 |
|       -100 |","7
16
12
6
-2",0.24904882907867432
"|   Variance |
|-----------:|
|        -53 |
|          9 |
|       1479 |
|        -18 |
|          3 |","437
-894
-710
1637
950",0.26040077209472656
"|   Variance |
|-----------:|
|          8 |
|         13 |
|         -6 |
|          0 |
|         12 |","-5
-11
-3
0
-743",0.29154133796691895
"|   Variance |
|-----------:|
|          4 |
|         16 |
|        -71 |
|         17 |
|         19 |","10  
3  
575  
9  
11",0.07030818611383438
"|   Variance |
|-----------:|
|         23 |
|        433 |
|         33 |
|         -5 |
|        -22 |","- 280
- -23
- 655
- -12
- 476",0.44690173864364624
"|   Variance |
|-----------:|
|        -20 |
|          6 |
|          0 |
|       -100 |
|        -25 |","1249
648
0
-9
455",0.09993667900562286
"|   Variance |
|-----------:|
|        -22 |
|         -2 |
|         -8 |
|         14 |
|         11 |","6  
2  
9634  
950  
5",0.0258969534188509
